,floor,floors_count,total_meters,price_per_month,district,underground,Холодильник,Стиральная машина,Телевизор,Посудомоечная машина,Кондиционер,Интернет,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Парковка,time_to_rent
852,10,22,32.0,26000,Московский,Московская,1.0,1.0,0.0,0.0,0.0,0.0,7.0,2.6,1.0,нет балкона,На улицу,Косметический,1974.0,Панельный,Наземная,0
853,14,20,34.1,32000,Пушкинский,Купчино,1.0,1.0,1.0,1.0,0.0,0.0,9.0,2.7,1.0,1 балкон,Во двор,Евроремонт,2011.0,Монолитный,Наземная,3
854,4,13,42.0,45000,Московский,Парк Победы,1.0,1.0,1.0,0.0,0.0,1.0,17.3,2.7,1.0,1 лоджия,На улицу и двор,Евроремонт,2021.0,Монолитный,Подземная,3
855,20,20,42.4,35000,Приморский,Пионерская,1.0,1.0,1.0,0.0,0.0,0.0,10.0,2.8,1.0,1 лоджия,Во двор,Евроремонт,2002.0,Кирпичный,Наземная,3
856,8,23,40.0,35000,Невский,Пролетарская,1.0,1.0,1.0,0.0,0.0,1.0,12.0,2.7,1.0,1 балкон,На улицу,Косметический,2014.0,Монолитный,Наземная,2
857,1,26,33.0,35000,Калининский,Гражданский проспект,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.7,1.0,нет балкона,Во двор,Косметический,2008.0,Кирпичный,Наземная,3
858,9,18,31.0,25000,Красногвардейский,Девяткино,1.0,1.0,1.0,1.0,0.0,1.0,15.0,2.6677996422182466,1.0,нет балкона,На улицу и двор,Дизайнерский,2023.0,Панельный,Наземная,1
859,4,25,49.0,42000,Выборгский,Проспект Просвещения,1.0,1.0,1.0,1.0,1.0,1.0,12.0,2.6,1.0,1 лоджия,Во двор,Дизайнерский,2021.0,Монолитно-кирпичный,Наземная,3
860,1,5,32.0,19000,Колпинский,Рыбацкое,1.0,1.0,1.0,0.0,0.0,1.0,7.0,2.6677996422182466,1.0,нет балкона,Во двор,Косметический,1969.0,Кирпичный,Наземная,3
861,8,22,35.1,30000,Красносельский,Ленинский проспект,1.0,1.0,1.0,1.0,0.0,1.0,13.0,2.6677996422182466,1.0,1 лоджия,На улицу,Косметический,2020.0,Монолитно-кирпичный,Наземная,3
862,12,24,35.0,30000,Невский,Улица Дыбенко,1.0,1.0,0.0,0.0,0.0,0.0,10.0,2.7,1.0,1 лоджия,Во двор,Косметический,2016.0,Монолитный,Наземная,3
863,4,20,42.0,28000,Приморский,Комендантский проспект,1.0,1.0,1.0,0.0,0.0,0.0,13.0,2.8,1.0,1 балкон,Во двор,Косметический,2013.0,Панельный,Наземная,3
864,3,14,33.1,32000,Красногвардейский,Новочеркасская,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.5,1.0,1 балкон,На улицу,Евроремонт,1980.0,Панельный,Наземная,3
866,7,10,45.0,21000,Красносельский,Проспект Ветеранов,1.0,1.0,1.0,0.0,0.0,1.0,12.0,2.5,1.0,нет балкона,Во двор,Дизайнерский,2004.0,Панельный,Наземная,3
867,6,17,40.0,25000,Красногвардейский,Улица Дыбенко,1.0,1.0,1.0,0.0,0.0,1.0,9.0,2.7,1.0,1 балкон,Во двор,Косметический,2017.0,Монолитный,Наземная,0
868,3,5,33.0,30000,Выборгский,Удельная,1.0,1.0,0.0,0.0,0.0,1.0,6.0,2.5,1.0,1 балкон,Во двор,Косметический,1963.0,Кирпичный,Наземная,3
