,id,floor,floors_count,total_meters,price_per_month,district,underground,Холодильник,Стиральная машина,Телевизор,Посудомоечная машина,Кондиционер,Интернет,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Парковка,adress,time_to_rent,m_lat,m_long,a_lat,a_long,time_to_metro
173,298433900.0,1,5,31.0,17000,Невский,Рыбацкое,1.0,1.0,0.0,0.0,0.0,1.0,6.0,2.67277397260274,1.0,нет балкона,Во двор,Косметический,1974.0,Кирпичный,Открытая,Караваевская  41К4 Санкт-Петербург,4,59.830856,30.500319,59.828297,30.514611,12.827300000000001
174,298433336.0,11,25,35.0,30000,Невский,Ломоносовская,1.0,1.0,0.0,0.0,0.0,1.0,9.0,2.6,1.0,1 лоджия,Во двор,Косметический,2011.0,Панельный,Наземная,Народная  53к3 Санкт-Петербург,8,59.877335,30.441695,59.881512,30.478652,30.496266666666667
175,298433330.0,10,26,40.0,35000,Приморский,Парнас,1.0,1.0,0.0,0.0,0.0,1.0,19.0,2.7,1.0,1 балкон,Во двор,Евроремонт,2022.0,Панельный,Наземная,набережная Реки Каменки 23 Санкт-Петербург,14,60.066913,30.334023,60.051845,30.268437,67.86646666666667
177,298429844.0,5,9,37.0,30000,Приморский,Комендантский проспект,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.6,1.0,1 лоджия,Во двор,Евроремонт,1989.0,Панельный,Наземная,Комендантский проспект 32К2 Санкт-Петербург,1,60.008716,30.258385,60.018228,30.243006,21.215700000000002
178,298861868.0,21,25,35.8,29000,Приморский,Комендантский проспект,1.0,1.0,1.0,1.0,0.0,1.0,9.0,2.7,1.0,1 лоджия,На улицу,Евроремонт,2011.0,Монолитный,Наземная,Парашютная  54 Санкт-Петербург,0,60.008716,30.258385,60.034879,30.243931,42.50043333333333
179,298861267.0,7,20,41.0,35000,Приморский,Лесная,1.0,1.0,1.0,0.0,0.0,1.0,10.0,2.8,1.0,нет балкона,На улицу,Евроремонт,2010.0,Кирпичный,Наземная,Земледельческая  5к2 Санкт-Петербург,7,59.984769,30.344363,59.990665,30.324447,23.743083333333335
180,298854254.0,7,9,33.4,35000,Московский,Парк Победы,1.0,1.0,1.0,0.0,0.0,1.0,8.6,2.5,1.0,1 балкон,На улицу,Евроремонт,1964.0,Кирпичный,Наземная,проспект Космонавтов 19К1 Санкт-Петербург,2,59.866459,30.321851,59.861986,30.346564,21.39105
181,298854029.0,7,19,41.0,30000,Красносельский,Ленинский проспект,1.0,1.0,1.0,0.0,0.0,1.0,12.0,2.7,1.0,1 лоджия,На улицу,Евроремонт,2017.0,Монолитный,Наземная,проспект Героев 18 Санкт-Петербург,2,59.850712,30.268356,59.866734,30.1677,80.29765
183,298853778.0,13,21,43.0,27000,Красносельский,Ленинский проспект,1.0,1.0,0.0,1.0,0.0,1.0,10.0,2.8,1.0,1 лоджия,На улицу и двор,Евроремонт,2012.0,Монолитный,Наземная,Петергофское шоссе 45 Санкт-Петербург,11,59.850712,30.268356,59.847978,30.152842,84.54594999999999
184,298852660.0,6,18,25.0,22000,Красносельский,Проспект Ветеранов,1.0,1.0,1.0,0.0,0.0,1.0,4.0,2.67277397260274,1.0,1 лоджия,На улицу,Евроремонт,2022.0,Монолитно-кирпичный,Наземная,проспект Буденного 19к2 Санкт-Петербург,11,59.841961,30.252115,59.84273,30.094478,117.38456666666666
